"uit","upt","ultg","gi"
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,GI 150 KV AIR ANYIR
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,GI 150 KV KELAPA
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,GI 150 KV KOBA
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,GI 150 KV MUNTOK
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,GI 150 KV PANGKAL PINANG
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,GI 150 KV SUNGAI LIAT
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,GI 150 KV TOBOALI
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,TRS 150 KV KELAPA - MUNTOK
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,TRS 150 KV MUNTOK - LANDING POINT
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,TRS 150 KV KOBA - TOBOALI
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,TRS 150 KV PANGKALPINANG - KOBA
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,TRS 150 KV AIR ANYIR - SUNGAI LIAT
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,TRS 150 KV AIR ANYIR - PANGKAL PINANG
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,TRS 150 KV PANGKALPINANG - KELAPA
BABEL,UPK BANGKA BELITUNG,ULTG BANGKA,LP 150 KV MUNTOK
BABEL,UPK BANGKA BELITUNG,ULTG BELITUNG,GI 70 KV DUKONG
BABEL,UPK BANGKA BELITUNG,ULTG BELITUNG,GI 70 KV MANGGAR
BABEL,UPK BANGKA BELITUNG,ULTG BELITUNG,GI 70 KV SUGE
BABEL,UPK BANGKA BELITUNG,ULTG BELITUNG,TRS 70 KV SUGE - DUKONG
BABEL,UPK BANGKA BELITUNG,ULTG BELITUNG,TRS 70 KV DUKONG - MANGGAR
MMU,UP3B MALUKU,ULTG TERNATE,TRS 150 KV KSTL-TTE
MMU,UP3B MALUKU,ULTG TERNATE,GI 150KV KASTELA
MMU,UP3B MALUKU,ULTG TERNATE,GIS 150KV TERNATE
MMU,UP3B MALUKU,ULTG AMBON,GI 150KV WAAI
MMU,UP3B MALUKU,ULTG AMBON,GI 70KV NAMLEA
MMU,UP3B MALUKU,ULTG AMBON,GI 70KV NAMROLE
MMU,UP3B MALUKU,ULTG AMBON,TRS 70 KV NAMROLE-NAMLEA
MMU,UP3B MALUKU,ULTG AMBON,TRS 150 KV PASSO-SRMAU
MMU,UP3B MALUKU,ULTG AMBON,TRS 150 KV WAAI-PASSO
MMU,UP3B MALUKU,ULTG AMBON,TRS 150 KV PASSO-HBSAR
MMU,UP3B MALUKU,ULTG AMBON,GI 70KV PASSO
MMU,UP3B MALUKU,ULTG AMBON,GI 70KV SIRIMAU
MMU,UP3B MALUKU,ULTG AMBON,GI 150KV HATIVE BESAR
MMU,UP3B MALUKU,ULTG AMBON,GIS 150KV PASSO
MMU,UP3B MALUKU,ULTG AMBON,GI 150KV SIRIMAU
NTB,UPT MATARAM,ULTG LOMBOK BARAT,GI 150KV AMPENAN
NTB,UPT MATARAM,ULTG LOMBOK BARAT,GI 150KV JERANJANG
NTB,UPT MATARAM,ULTG LOMBOK BARAT,GI 150KV KUTA
NTB,UPT MATARAM,ULTG LOMBOK BARAT,GI 150KV MANTANG
NTB,UPT MATARAM,ULTG LOMBOK BARAT,GI 150KV MATARAM
NTB,UPT MATARAM,ULTG LOMBOK BARAT,GI 150KV SENGKOL
NTB,UPT MATARAM,ULTG LOMBOK BARAT,GI 150KV SWITCHING
NTB,UPT MATARAM,ULTG LOMBOK BARAT,SUTT 150 KV SWITCHING-TNJNG
NTB,UPT MATARAM,ULTG LOMBOK BARAT,SUTT 150 KV SWITCHING-MATARAM
NTB,UPT MATARAM,ULTG LOMBOK BARAT,SUTT 150 KV AMPN-JRJG
NTB,UPT MATARAM,ULTG LOMBOK BARAT,SUTT 150 KV INC MTNG-SGKL
NTB,UPT MATARAM,ULTG LOMBOK BARAT,SUTT 150 KV INC JRJG-MTNG
NTB,UPT MATARAM,ULTG LOMBOK BARAT,SUTT 150 KV SGKL-KUTA
NTB,UPT MATARAM,ULTG LOMBOK BARAT,SKTT 150 KV AMPN-PEAKR
NTB,UPT MATARAM,ULTG LOMBOK BARAT,SKTT 150 KV PAEKR-SWITCHING
NTB,UPT MATARAM,ULTG LOMBOK BARAT,SUTT 150 KV JRJG-SKTNG
NTB,UPT MATARAM,ULTG LOMBOK BARAT,GIS 150KV LOMBOK PEAKER
NTB,UPT MATARAM,ULTG LOMBOK BARAT,GI 150KV SEKOTONG
NTB,UPT MATARAM,ULTG LOMBOK TIMUR,GI 150KV BAYAN
NTB,UPT MATARAM,ULTG LOMBOK TIMUR,GI 150KV PAOKMOTONG
NTB,UPT MATARAM,ULTG LOMBOK TIMUR,GI 150KV PRINGGABAYA
NTB,UPT MATARAM,ULTG LOMBOK TIMUR,GI 150KV SAMBELIA
NTB,UPT MATARAM,ULTG LOMBOK TIMUR,GI 150KV TANJUNG
NTB,UPT MATARAM,ULTG LOMBOK TIMUR,SUTT 150 KV SGKL-PKMTG
NTB,UPT MATARAM,ULTG LOMBOK TIMUR,SUTT 150 KV PKMTG-PRGBY
NTB,UPT MATARAM,ULTG LOMBOK TIMUR,SUTT 150 KV SMBLA-BAYAN
NTB,UPT MATARAM,ULTG LOMBOK TIMUR,SUTT 150 KV BAYAN-TNJNG
NTB,UPT MATARAM,ULTG LOMBOK TIMUR,SUTT 150 KV PRGBY-SMBLA
NTB,UPT MATARAM,ULTG BIMA,SUTT 70 KV BIMA-DOMPU
NTB,UPT MATARAM,ULTG BIMA,SUTT 70 KV WOHA-DOMPU
NTB,UPT MATARAM,ULTG BIMA,SUTT 150 KV EMPNG-DOMPU
NTB,UPT MATARAM,ULTG BIMA,SUTT 70 KV BIMA-SAPE
NTB,UPT MATARAM,ULTG BIMA,SUTT 70 KV BONTO-BIMA
NTB,UPT MATARAM,ULTG BIMA,GI 70KV BONTO
NTB,UPT MATARAM,ULTG BIMA,GI 70KV BIMA
NTB,UPT MATARAM,ULTG BIMA,GI 70KV WOHA
NTB,UPT MATARAM,ULTG BIMA,GI 150KV DOMPU
NTB,UPT MATARAM,ULTG BIMA,GI 70KV DOMPU
NTB,UPT MATARAM,ULTG BIMA,GI 70KV SAPE
NTB,UPT MATARAM,ULTG SUMBAWA,GI 70KV ALAS
NTB,UPT MATARAM,ULTG SUMBAWA,SUTT 150 KV SMBWA-LABHN
NTB,UPT MATARAM,ULTG SUMBAWA,SUTT 70 KV ALAS - LABHN
